Source: IEA Electricity Information https://www.iea.org/data-and-statistics/data-product/electricity-information
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Coal,Oil,Natural gas,Biofuels,Waste,Nuclear,Hydro,Geothermal,Solar PV,Wind,Tide,Other sources,Solar thermal,Units
1990,1244032,312663,281752,12144,8531,894678,514105,3606,16,778,503,348,,GWh
1991,1234605,308672,275289,12768,9394,917919,524650,3551,22,1096,517,253,,GWh
1992,1186369,296096,271045,13522,10264,924521,544060,3764,31,1557,516,636,,GWh
1993,1118025,262699,293237,14981,10739,960767,562260,4005,36,2362,494,689,,GWh
1994,1115710,252384,321936,15992,12498,951935,568662,3789,43,3502,501,663,,GWh
1995,1119088,266274,341867,18272,13536,976239,581527,3854,52,4078,507,823,,GWh
1996,1121128,253978,390999,17459,15406,1030658,568078,4241,58,4886,491,774,,GWh
1997,1082320,239276,444430,21682,16822,1042464,582612,4414,68,7373,510,1124,,GWh
1998,1091544,246650,474252,24141,19078,1033920,611009,5012,92,11295,522,1142,,GWh
1999,1058636,231936,553619,24686,18863,1041279,618172,5700,96,14255,515,1069,,GWh
2000,1121923,208167,586588,27336,21066,1048780,637768,6184,125,22295,507,1502,,GWh
2001,1136036,199127,606732,28992,26603,1081966,635427,6153,196,26821,485,1568,,GWh
2002,1146540,210879,639957,34156,26775,1095420,590747,6299,285,36478,494,1586,,GWh
2003,1204930,194095,699610,40668,23336,1104753,556749,6929,437,44919,490,3737,,GWh
2004,1177479,165190,758154,50884,24453,1122417,597224,7099,712,59823,470,6948,,GWh
2005,1166372,157768,817230,59097,27940,1109796,604336,7149,1486,71613,481,10558,,GWh
2006,1209197,149671,834338,67049,30489,1107921,594519,8340,2523,83758,464,6350,,GWh
2007,1228252,129308,906446,74280,32817,1055744,593444,9507,3807,106501,465,5281,8,GWh
2008,1147563,124479,964110,83559,33839,1054756,620902,9931,7475,122465,465,5100,16,GWh
2009,1050276,113851,893852,93669,34936,1004620,616803,10535,14098,136688,449,4383,104,GWh
2010,1067946,94151,946060,108093,38214,1032100,674520,10735,22669,154020,477,4642,761,GWh
2011,1114600,84951,889281,115710,40289,1023707,593849,11342,45961,187483,477,5193,1959,GWh
2012,1170695,92842,754664,130839,41141,997944,653978,11928,68726,215112,461,4916,3775,GWh
2013,1137155,70844,695103,140377,41594,986028,689435,12635,82947,248067,417,5131,4769,GWh
2014,1062372,66352,662916,149195,44071,992243,671946,13906,94923,266383,481,5464,5454,GWh
2015,1037815,70108,681053,160249,45533,967736,664631,15041,105743,319006,487,7258,5593,GWh
2016,964700,69183,791628,162774,47717,941780,680452,16619,110351,322893,500,7172,5579,GWh
2017,928505,64823,864878,166767,49629,935671,615426,18012,120479,384376,525,7818,5883,GWh
2018,891052,59193,818484,171767,51142,936917,672692,20095,133407,403493,489,6549,4867,GWh
2019,726669,55945,865617,179603,51387,930942,655675,21695,147694,462432,512,6701,6188,GWh
2020,603825,52552,850732,185973,51760,834355,689556,22705,175741,513735,520,6765,5630,GWh
2021,662574,51780,895605,196493,53284,888954,678606,23133,199559,500013,508,7124,5952,GWh
2022,687264,62103,841748,186804,53529,750028,594824,23462,250207,556070,524,6907,5267,GWh
